Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
20-Jul-16,20-Jul-16,Run,359,3.10461,1751,9.41137,0,6.37527,0,,5112,,,http://www.mapmyrun.com/workout/1622085824
19-Jul-16,19-Jul-16,Run,404,3.92564,1691,7.17176,0,8.36614,0,,5211,,,http://www.mapmyrun.com/workout/1619256794
19-Jul-16,17-Jul-16,Run,1162,10.607,6059,9.51149,0,6.30816,0,,16307,,,http://www.mapmyrun.com/workout/1619258099
19-Jul-16,15-Jul-16,Run,518,4.82461,2583,8.9111,0,6.73318,0,,6928,,,http://www.mapmyrun.com/workout/1619257364
12-Jul-16,12-Jul-16,Run,471,4.41979,2193,8.27852,0,7.24767,0,,6514,,,http://www.mapmyrun.com/workout/1602837236
12-Jul-16,10-Jul-16,Run,1181,10.6572,5913,9.2491,0,6.48712,0,,15985,,,http://www.mapmyrun.com/workout/1602837869
8-Jul-16,8-Jul-16,Run,650,5.9948,3127,8.68039,0,6.91213,0,,8854,,,http://www.mapmyrun.com/workout/1593808313
8-Jul-16,2-Jul-16,Run,1194,10.8139,6027,9.28111,0,6.46475,0,,16458,,,http://www.mapmyrun.com/workout/1593809096
1-Jul-16,1-Jul-16,Run,505,4.71595,2800,9.89756,0,6.0621,0,,6806,,,http://www.mapmyrun.com/workout/1578262748
1-Jul-16,29-Jun-16,Run,483,4.43137,2297,8.65239,0,6.9345,0,,6610,,,http://www.mapmyrun.com/workout/1578262460
1-Jul-16,28-Jun-16,Run,556,5.10159,2960,9.68318,0,6.19631,0,,8360,,,http://www.mapmyrun.com/workout/1578262919
